SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
DHAMPURSUG,EQ,04-Apr-2018,139.00,140.00,141.00,135.00,135.50,136.10,138.83,508739,706.26,4329,327021,64.28
DHANBANK,EQ,04-Apr-2018,22.80,22.55,23.30,22.30,22.60,22.55,22.85,357999,81.82,1166,188186,52.57
DHANUKA,EQ,04-Apr-2018,588.75,599.00,610.00,582.50,587.95,587.20,591.73,32774,193.94,2009,21750,66.36
DHARSUGAR,EQ,04-Apr-2018,20.10,21.30,24.10,20.50,24.10,24.05,23.39,409455,95.76,1773,128783,31.45
DHFL,EQ,04-Apr-2018,533.60,535.45,543.30,518.20,519.00,521.35,530.00,4959051,26282.88,56634,1369980,27.63
DHFL,N6,04-Apr-2018,1026.28,1035.00,1035.00,1035.00,1035.00,1035.00,1035.00,5,0.05,1,5,100.00
DHFL,NC,04-Apr-2018,1105.99,1109.99,1109.99,1105.00,1105.00,1105.00,1109.26,868,9.63,13,500,57.60
DHFL,NP,04-Apr-2018,1078.00,1082.00,1085.00,1078.25,1078.25,1079.06,1080.97,532,5.75,11,530,99.62
DHUNINV,EQ,04-Apr-2018,392.60,398.00,410.00,384.00,390.00,386.90,398.80,1827,7.29,84,1538,84.18
DIAMONDYD,EQ,04-Apr-2018,1327.80,1320.00,1330.00,1319.00,1320.05,1320.20,1322.94,1975,26.13,285,1406,71.19
DIAPOWER,EQ,04-Apr-2018,7.10,7.30,7.45,7.30,7.45,7.45,7.43,70427,5.23,103,61864,87.84
DICIND,EQ,04-Apr-2018,482.60,487.00,495.00,461.15,485.00,472.80,477.49,714,3.41,152,537,75.21
DIGJAMLTD,EQ,04-Apr-2018,9.80,10.20,10.20,9.60,10.05,9.95,9.97,164132,16.37,410,101574,61.89
DISHTV,EQ,04-Apr-2018,72.25,72.25,72.80,69.80,70.70,70.65,71.37,5647565,4030.55,14347,2418868,42.83
DIVISLAB,EQ,04-Apr-2018,1109.20,1125.00,1141.80,1087.95,1096.00,1096.75,1117.16,619642,6922.37,15459,112557,18.16
