,timestamp,open,high,low,close,volume
51,2018-01-19,90.14,90.61,89.66,90.0,34896964
52,2018-01-18,89.8,90.67,89.66,90.1,22931303
53,2018-01-17,89.08,90.28,88.75,90.14,24659472
54,2018-01-16,90.1,90.79,88.0104,88.35,35945428
55,2018-01-12,88.67,89.78,88.45,89.6,24000439
56,2018-01-11,88.13,88.13,87.24,88.08,16529868
57,2018-01-10,87.86,88.19,87.41,87.82,18129153
58,2018-01-09,88.65,88.7272,87.86,88.22,19390427
59,2018-01-08,88.2,88.58,87.6046,88.28,20293930
60,2018-01-05,87.66,88.41,87.43,88.19,22526563
61,2018-01-04,86.59,87.66,86.57,87.11,21145985
62,2018-01-03,86.055,86.51,85.97,86.35,24173064
63,2018-01-02,86.125,86.31,85.5,85.95,21993101
64,2017-12-29,85.63,86.05,85.5,85.54,18162779
65,2017-12-28,85.9,85.93,85.55,85.72,9872795
66,2017-12-27,85.65,85.98,85.215,85.71,13000828
67,2017-12-26,85.31,85.5346,85.03,85.4,9737412
68,2017-12-22,85.4,85.63,84.92,85.51,14033977
69,2017-12-21,86.05,86.1,85.4,85.5,16638402
70,2017-12-20,86.2,86.3,84.71,85.52,23425009
71,2017-12-19,86.35,86.35,85.27,85.83,23241979
72,2017-12-18,87.12,87.4999,86.23,86.38,21551076
73,2017-12-15,85.26,87.09,84.88,86.85,52430167
74,2017-12-14,85.43,85.8739,84.53,84.69,19080106
75,2017-12-13,85.74,86.0,85.17,85.35,21307911
76,2017-12-12,85.31,86.05,85.08,85.58,23534946
77,2017-12-11,84.29,85.37,84.12,85.23,19909119
78,2017-12-08,83.63,84.58,83.33,84.16,23825056
79,2017-12-07,82.54,82.8,82.0,82.49,20378114
80,2017-12-06,81.55,83.14,81.43,82.78,24821403
81,2017-12-05,81.34,82.68,80.9801,81.59,25512120
82,2017-12-04,84.42,84.4299,80.7,81.08,37977732
83,2017-12-01,83.6,84.81,83.22,84.26,29387325
84,2017-11-30,83.51,84.52,83.34,84.17,32998408
85,2017-11-29,84.71,84.9172,83.175,83.34,27358477
86,2017-11-28,84.07,85.06,84.02,84.88,21162639
87,2017-11-27,83.31,83.98,83.3,83.87,17603760
88,2017-11-24,83.01,83.43,82.78,83.26,7425503
89,2017-11-22,83.83,83.9,83.04,83.11,20213704
90,2017-11-21,82.74,83.84,82.74,83.72,21237454
91,2017-11-20,82.4,82.59,82.25,82.53,16072495
92,2017-11-17,83.12,83.12,82.24,82.4,21715498
93,2017-11-16,83.1,83.42,82.94,83.2,20659209
94,2017-11-15,83.47,83.69,82.69,82.98,19097333
95,2017-11-14,83.5,84.1,82.98,84.05,18604034
96,2017-11-13,83.66,83.94,83.46,83.93,14080820
97,2017-11-10,83.79,84.095,83.23,83.87,19340435
98,2017-11-09,84.11,84.27,82.9,84.09,20924172
99,2017-11-08,84.14,84.61,83.83,84.56,18034170
